date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:59:43	69942/69942	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:59:21%20GMT	http://schema.geolink.org/dev/voc/local.html	mirror/schema.geolink.org/dev/voc/local.html	(from http://schema.geolink.org/voc/index.html)
21:59:45	69942/69942	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:59:23%20GMT	http://schema.geolink.org/1.0/voc/local.html	mirror/schema.geolink.org/1.0/voc/local.html	(from http://schema.geolink.org/voc/index.html)
21:59:47	347/347	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:59:45%20GMT	http://schema.geolink.org/1.0/voc/gebco/featuretype	mirror/schema.geolink.org/1.0/voc/gebco/featuretype.45.delayed	(from http://schema.geolink.org/voc/index.html)
21:59:57	81082/81082	---M--	200	added ('OK')	text/xml	etag:%224600165-13cba-51f4bdef28fc0%22	http://schema.geolink.org/1.0/voc/dataone/format.owl	mirror/schema.geolink.org/1.0/voc/dataone/format.owl	(from http://schema.geolink.org/voc/index.html)
21:59:58	73429/73429	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:59:35%20GMT	http://schema.geolink.org/1.0/voc/dataone/format.html	mirror/schema.geolink.org/1.0/voc/dataone/format.html	(from http://schema.geolink.org/voc/index.html)
21:59:59	337/337	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:59:58%20GMT	http://schema.geolink.org/1.0/voc/nvs/L05	mirror/schema.geolink.org/1.0/voc/nvs/L05.48.delayed	(from http://schema.geolink.org/voc/index.html)
22:00:13	86168/86168	---M--	200	added ('OK')	text/xml	etag:%224600168-15098-529c0365bd180%22	http://schema.geolink.org/1.0/voc/gebco/featuretype.owl	mirror/schema.geolink.org/1.0/voc/gebco/featuretype.owl	(from http://schema.geolink.org/voc/index.html)
22:00:41	173975/173975	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:59:47%20GMT	http://schema.geolink.org/1.0/voc/gebco/featuretype.html	mirror/schema.geolink.org/1.0/voc/gebco/featuretype.html	(from http://schema.geolink.org/voc/index.html)
22:00:42	337/337	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2022:00:41%20GMT	http://schema.geolink.org/1.0/voc/nvs/L06	mirror/schema.geolink.org/1.0/voc/nvs/L06.4b.delayed	(from http://schema.geolink.org/voc/index.html)
22:01:21	475718/475718	---M--	200	added ('OK')	text/xml	etag:%22460016b-74246-529c0365bd180%22	http://schema.geolink.org/1.0/voc/nvs/L05.owl	mirror/schema.geolink.org/1.0/voc/nvs/L05.owl	(from http://schema.geolink.org/voc/index.html)
22:01:45	160541/160541	---M--	200	added ('OK')	text/xml	etag:%22460016d-2731d-529c0365bd180%22	http://schema.geolink.org/1.0/voc/nvs/L06.owl	mirror/schema.geolink.org/1.0/voc/nvs/L06.owl	(from http://schema.geolink.org/voc/index.html)
22:01:47	337/337	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2022:01:45%20GMT	http://schema.geolink.org/1.0/voc/nvs/L22	mirror/schema.geolink.org/1.0/voc/nvs/L22.4e.delayed	(from http://schema.geolink.org/voc/index.html)
22:01:49	203356/203356	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2022:00:42%20GMT	http://schema.geolink.org/1.0/voc/nvs/L06.html	mirror/schema.geolink.org/1.0/voc/nvs/L06.html	(from http://schema.geolink.org/voc/index.html)
22:03:04	588862/588862	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:59:59%20GMT	http://schema.geolink.org/1.0/voc/nvs/L05.html	mirror/schema.geolink.org/1.0/voc/nvs/L05.html	(from http://schema.geolink.org/voc/index.html)
22:03:05	337/337	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2022:03:04%20GMT	http://schema.geolink.org/1.0/voc/nvs/P01	mirror/schema.geolink.org/1.0/voc/nvs/P01.51.delayed	(from http://schema.geolink.org/voc/index.html)
22:03:09	460/460	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2022:03:05%20GMT	http://schema.geolink.org/1.0/voc/nvs/P01.html	mirror/schema.geolink.org/1.0/voc/nvs/P01.html	(from http://schema.geolink.org/voc/index.html)
22:03:09	301/301	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Aug%202018%2022:03:09%20GMT	http://schema.geolink.org/1.0/voc/nvs/P01.owl	mirror/schema.geolink.org/1.0/voc/nvs/P01.owl	(from http://schema.geolink.org/voc/index.html)
22:03:11	337/337	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2022:03:10%20GMT	http://schema.geolink.org/1.0/voc/nvs/P02	mirror/schema.geolink.org/1.0/voc/nvs/P02	(from http://schema.geolink.org/voc/index.html)
